	SVL	Mass
Amphisbaena_cerradensis	385.0	51.6
Amphisbaena_crisae	149.0	1.2
Amphisbaena_cubana	206.0	4.2
Amphisbaena_cuiabana	316.0	23.4
Amphisbaena_cunhai	550.0	215.6
Amphisbaena_darwini	360.0	39.5
Amphisbaena_dubia	276.0	13.6
Amphisbaena_fenestrata	242.0	8.0
Amphisbaena_frontalis	284.0	15.3
Amphisbaena_fuliginosa	500.0	147.2
Amphisbaena_gonavensis	310.0	21.7
Amphisbaena_gracilis	170.0	2.0
Amphisbaena_hastata	152.0	1.2
Amphisbaena_heathi	124.0	0.6
Amphisbaena_heterozonata	280.0	14.4
Amphisbaena_hiata	204.0	4.1
Amphisbaena_hogei	130.0	0.7
Amphisbaena_hyporissor	310.0	21.7
Amphisbaena_ibijara	244.1	8.3
Amphisbaena_ignatiana	188.0	2.9
Amphisbaena_infraorbitale	635.0	383.5
Amphisbaena_innocens	268.0	12.1
Amphisbaena_kingii	242.0	8.0
Amphisbaena_kisteumacheri	356.0	37.7
Amphisbaena_kraoh	305.0	20.3
Amphisbaena_leali	254.0	9.8
Amphisbaena_leeseri	156.0	1.4
Amphisbaena_leucocephala	350.0	35.2
Amphisbaena_littoralis	278.0	14.0
Amphisbaena_lumbricalis	156.0	1.4
Amphisbaena_manni	212.0	4.7
Amphisbaena_maranhensis	125.0	0.6
Amphisbaena_maximus	440.0	88.2
Amphisbaena_medemi	184.0	2.7
Amphisbaena_mensae	130.0	0.7
Amphisbaena_mertensii	410.0	66.4
Amphisbaena_microcephalum	550.0	215.6
Amphisbaena_miringoera	142.0	0.9
Amphisbaena_mitchelli	165.0	1.7
Amphisbaena_munoai	172.0	2.0
Amphisbaena_myersi	188.0	2.9
Amphisbaena_neglecta	150.0	1.2
Amphisbaena_nigricauda	168.0	0.2
Amphisbaena_occidentalis	262.0	11.0
Amphisbaena_octostegum	336.0	29.9
Amphisbaena_pericensis	153.0	1.3
Amphisbaena_persephone	161.0	1.6
Amphisbaena_plumbea	283.0	15.0
Amphisbaena_polygrammica	227.0	6.2
Amphisbaena_polystegum	470.1	114.9
Amphisbaena_pretrei	462.0	107.2
Amphisbaena_prunicolor	238.0	7.5
Amphisbaena_ridleyi	253.0	9.6
Amphisbaena_roberti	268.0	12.1
Amphisbaena_rozei	196.0	3.5
Amphisbaena_sanctaeritae	165.0	1.7
Amphisbaena_saxosa	375.0	46.5
Amphisbaena_schmidti	240.0	7.8
Amphisbaena_scutigerum	500.0	147.2
Amphisbaena_silvestrii	162.0	1.6
Amphisbaena_slateri	139.0	0.9
Amphisbaena_slevini	120.0	0.5
Amphisbaena_spurelli	320.0	24.6
Amphisbaena_steindachneri	243.0	8.2
Amphisbaena_stejnegeri	265.0	11.6
Amphisbaena_supernumeraria	195.0	3.4
Amphisbaena_talisiae	105.0	0.3
Amphisbaena_townsendi	252.0	9.4
Amphisbaena_trachura	350.0	35.2
Amphisbaena_tragorrhectes	110.0	0.3
Amphisbaena_uroxena	163.0	1.6
Amphisbaena_vanzolinii	153.0	1.3
Amphisbaena_varia	402.0	39.5
Amphisbaena_vermicularis	325.0	26.2
Amphisbaena_wiedi	385.0	51.6
Amphisbaena_wuchereri	426.6	77.9
Amphisbaena_xera	245.0	8.4
Amplorhinus_multimaculatus	630.0	40.8
Anadia_altaserrania	76.0	10.8
Anadia_antioquensis	89.0	18.2
Anadia_bitaeniata	87.8	17.4
Anadia_blakei	91.0	19.5
Anadia_bogotensis	64.6	6.3
Anadia_brevifrontalis	99.2	26.0
Anadia_bumanguesa	91.6	20.0
Anadia_escalerae	66.7	5.8
Anadia_hobarti	86.8	16.7
Anadia_marmorata	94.9	22.4
Anadia_mcdiarmidi	62.2	5.6
Anadia_ocellata	75.0	10.3
Anadia_pamplonensis	85.0	15.6
Anadia_pariaensis	87.0	16.8
Anadia_petersi	74.3	10.0
Anadia_pulchella	105.9	32.2
Anadia_rhombifera	68.0	7.5
Anadia_steyeri	82.0	13.8
Anadia_vittata	67.0	7.1
Anatololacerta_anatolica	75.0	9.8
Anatololacerta_budaki	66.0	6.7
Anatololacerta_danfordi	75.0	9.8
Anatololacerta_pelasgiana	67.0	7.0
Ancylocranium_barkeri	245.0	8.4
Ancylocranium_ionidesi	328.0	27.2
Ancylocranium_somalicum	202.0	3.9
Androngo_trivittatus	147.0	14.1
Anelytropsis_papillosus	375.0	51.7
Anepischetosia_maccoyi	59.0	3.9
Anguis_cephallonica	286.0	75.9
Anguis_colchica	290.0	79.0
Anguis_fragilis	291.0	79.8
Anguis_graeca	222.0	36.5
Anguis_incomptus	231.0	40.9
